Context,Questions,Correct Answers
Renal consequences of parenteral nutrition,4. Intradialytic PN: <br> a. Is likely to be inadequate as a sole source of nutrition <br> b. Is routinely used in children in the UK <br> c. Is less well tolerated than standard PN <br> d. Can only be administered in small volumes due to risk of fluid overload,a
Renal consequences of parenteral nutrition,5. Electrolyte disturbances in patients receiving PN: <br> a. Are very uncommon since PN formulations have improved <br> b. Are only seen in patients receiving short-term PN <br> c. Are rarely affected by concurrent medications and co-morbidities <br> d. Are potentially avoidable,d
Renal consequences of parenteral nutrition,"6. Renal stone disease in patients receiving PN: <br> a. Is exclusive to patients with intestinal failure <br> b. Is a consequence of the high pH of PN formulations <br> c. May be a consequence of low calcium intake, vitamin D administration, and hyperparathyroidism <br> d. Are usually due to infection",c
Renal tubular dysgenesis,1. RTD is characterized at the histological level by: <br> a. Reduced number of proximal tubules <br> b. Dysplasia with presence of primitive ducts <br> c. Constant increase in renin expression <br> d. Thickening of arterial/arteriolar walls <br> (Choose all correct answers),"a, d"
Renal tubular dysgenesis,2. Autosomal recessive RTD is characterized by: <br> a. Oligohydramnios <br> b. Hypertension at birth <br> c. In utero growth retardation <br> d. Large hyperechogenic kidneys,a
Renal tubular dysgenesis,"3. In autosomal recessive RTD, <br> a. Mutations have been identified in AGT, REN, ACE and AGTR1 <br> b. REN mutations are the most frequent <br> c. There is a strict correlation between the mutated gene and the phenotype <br> d. Increase in renin expression is a marker for REN mutation",a
Renal tubular dysgenesis,"4. In the twin-to-twin transfusion syndrome, <br> a. Increased renal renin expression is observed in both twins <br> b. High plasma renin level is observed in both twins <br> c. RTD is observed in the donor twin <br> d. Severe outcome is only observed in the donor twin <br> (Choose all correct answers)","b, c"
Renal tubular dysgenesis,"5. In fetuses exposed to RAS blockers, RTD is observed <br> a. after exposure during the first trimester of gestation <br> b. after exposure during the second trimester of gestation <br> c. after exposure during the third trimester of gestation <br> d. The long-term evolution is favorable in all neonates with spontaneous recovery of diuresis <br> (Choose all correct answers)","b, c"
Strategies for the preservation of residual renal function in pediatric dialysis patients,1. Studies in adults have shown that the following components of RRF are associated with decreased mortality: <br> a. Urinary creatinine clearance <br> b. Urine volume <br> c. Both A & B <br> d. Neither A nor B,c
Strategies for the preservation of residual renal function in pediatric dialysis patients,"2. Potential clinical benefits of maintained RRF in children with ESRD include: <br> a. Decreased cardiovascular complications <br> b. Control of hyperphosphatemia <br> c. Decreased need for erythropoietin-stimulating agents <br> d. A & B <br> e. A, B & C",e
Strategies for the preservation of residual renal function in pediatric dialysis patients,3. The following strategy has NOT been advocated to preserve RRF during hemodialysis include: <br> a. Aggressive ultrafiltration until hypotension is induced <br> b. Use of ultrapure dialysate <br> c. Use of biocompatible dialyzers <br> d. Avoidance of nephrotoxic medications whenever possible,a
Strategies for the preservation of residual renal function in pediatric dialysis patients,4. Use of low GDP-dialysate in children receiving chronic peritoneal dialysis is: <br> a. Clearly associated with maintenance of residual renal function <br> b. Advocated when possible <br> c. Associated with increased circulating advanced glycosylation end products which can affect mesothelial cell mass and function,b
Trace elements in dialysis,"1. Which of the following statements is true? a. Trace elements are known substances that are present in very low concentrations in biological fluids or tissues. b. Molybdenum is a trace element. c. Cadmium, chromium, nickel, and vanadium probably accumulate in dialysis patients. d. In analytical chemistry, a trace element is an element in a sample that has an average concentration of less than 100 parts per million measured in atomic count or less than 100 micrograms per gram. e. All of the above.",e
Trace elements in dialysis,"2. Which of the following statements is true? a. Cadmium has an important biological role in higher organisms. b. The hexavalent form of chromium is benign. c. Vanadium is very toxic and exposure is likely to cause permanent health problems or death. d. Chronic lead toxicity causes abdominal pain, confusion, headache, anemia, and irritability. e. Manganese, zinc, copper, and selenium cannot accumulate in CKD.",c
Trace elements in dialysis,"3. Which of the following statements is false? a. Zinc is one of the most important micronutrients and deficiency is common worldwide, potentially causing failure to thrive, dermatitis, and inflammatory disease. b. Zinc is an intrinsic metal and a cofactor for multiple enzyme systems, including angiotensin converting enzyme, alkaline phosphatase, carbonic anhydrase, DNA and RNA polymerases, copper-zinc superoxide dismutase, and metallothionein. c. CKD patients are at a low risk for zinc deficiency because of accumulation of zinc due to decreased renal clearance. d. Zinc levels range between 25.9 and 108.8 ug/l in healthy children. e. Zinc has measurable levels in bottled water but its concentration in high purity dialysis water is negligible.",c
Trace elements in dialysis,4. Which of the following statements is true? a. There is no safe lead level for children. b. Children on dialysis have a higher prevalence of elevated lead levels than adult dialysis patients. c. Hemodialysis feed water in academic centers is not a significant source of lead. d. Dialysis fluid does not serve as a source of excessive loss of lead. e. All of the above.,e
Uric acid and the kidney,1. Mutations in which of the following transporters/proteins have been implicated in familial juvenile hyperuricemic nephropathy (FJHN): a. Glut9 b. URAT1 c. UMOD d. OAT1,c
Uric acid and the kidney,"2. A child with a serum uric acid level of 0.5 mg/dl and with decreased FEUA will likely have: a. Fanconi syndrome b. Hereditary xanthinuria, with deficiency of XO enzyme c. SIADH d. Diabetes mellitus",b
Uric acid and the kidney,"3. A 10-year-old kidney transplant recipient has high serum uric acid level. His current immunosuppression is cyclosporine, prednisone and azathioprine. He was started on allopurinol. Which of the following is a correct recommendation regarding his current immunosuppression: a. Stopping azathioprine and starting mycophenolate mofetil b. Stopping cyclosporine and starting tacrolimus c. Decreasing the azathioprine dose by half and monitoring for bone marrow suppression d. No changes to his medications",e
Uric acid and the kidney,4. Serum uric acid levels among neonates: a. Are lowest at birth b. Directly proportional to gestational age c. Are highest at birth d. Are lower in infants with perinatal complications e. Increase during the first week of life,c
Uric acid and the kidney,"5. Which of the following statements are true regarding acute uric acid nephropathy in children? a. Occurs when serum uric acid levels exceed 4–6 mg/dl b. (Uua × Scr)/(Ucr), mg/dl > 0.57 is suggestive of acute uric acid nephropathy c. The pathologic features of acute uric acid nephropathy are irreversible d. Most commonly occurs with enzymatic defects e. A urine uric acid-to-creatinine ratio of >1 is suggestive of acute uric acid nephropathy",e
Therapeutic plasma exchange for the treatment of pediatric,1. Plasma exchange is accepted as a first-line therapy for treatment of these conditions EXCEPT: a) Recurrent FSGS b) Antibody-mediated kidney allograft rejection c) Lupus nephritis d) ANCA-associated rapidly progressive glomerulonephritis and dialysis dependence e) Atypical HUS due to autoantibody to factor H,c
